path,split,labels,duration
data/raw/fsd50k/FSD50K.dev_audio/64760.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.714308
data/raw/fsd50k/FSD50K.dev_audio/16399.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.557324
data/raw/fsd50k/FSD50K.dev_audio/16401.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.297982
data/raw/fsd50k/FSD50K.dev_audio/16402.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.418095
data/raw/fsd50k/FSD50K.dev_audio/16404.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",4.000000
data/raw/fsd50k/FSD50K.dev_audio/64761.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",8.571451
data/raw/fsd50k/FSD50K.dev_audio/268259.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.666667
data/raw/fsd50k/FSD50K.dev_audio/64762.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",6.857166
data/raw/fsd50k/FSD50K.dev_audio/40515.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",4.801814
data/raw/fsd50k/FSD50K.dev_audio/40516.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",4.816553
data/raw/fsd50k/FSD50K.dev_audio/40517.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",4.853220
data/raw/fsd50k/FSD50K.dev_audio/64741.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",6.857166
data/raw/fsd50k/FSD50K.dev_audio/40523.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.189683
data/raw/fsd50k/FSD50K.dev_audio/64743.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",6.857166
data/raw/fsd50k/FSD50K.dev_audio/64744.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.857166
data/raw/fsd50k/FSD50K.dev_audio/40525.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.363175
data/raw/fsd50k/FSD50K.dev_audio/64746.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.714308
data/raw/fsd50k/FSD50K.dev_audio/5318.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.249456
data/raw/fsd50k/FSD50K.dev_audio/4258.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.840272
data/raw/fsd50k/FSD50K.dev_audio/4259.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",3.060068
data/raw/fsd50k/FSD50K.dev_audio/4260.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.994921
data/raw/fsd50k/FSD50K.dev_audio/4261.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",3.117846
data/raw/fsd50k/FSD50K.dev_audio/4262.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",2.795329
data/raw/fsd50k/FSD50K.dev_audio/4263.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",3.140159
data/raw/fsd50k/FSD50K.dev_audio/4264.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.954739
data/raw/fsd50k/FSD50K.dev_audio/4265.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.971837
data/raw/fsd50k/FSD50K.dev_audio/4266.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.989592
data/raw/fsd50k/FSD50K.dev_audio/4267.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.945283
data/raw/fsd50k/FSD50K.dev_audio/4268.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.962177
data/raw/fsd50k/FSD50K.dev_audio/4269.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.990952
data/raw/fsd50k/FSD50K.dev_audio/4270.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.592721
data/raw/fsd50k/FSD50K.dev_audio/4272.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.796100
data/raw/fsd50k/FSD50K.dev_audio/64757.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",6.857166
data/raw/fsd50k/FSD50K.dev_audio/4276.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",0.764785
data/raw/fsd50k/FSD50K.dev_audio/4277.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.384490
data/raw/fsd50k/FSD50K.dev_audio/4278.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",1.002744
data/raw/fsd50k/FSD50K.dev_audio/4279.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",4.598481
