path,split,labels,duration
data/raw/fsd50k/FSD50K.dev_audio/316908.wav,train,"Piano,Keyboard_(musical),Musical_instrument,Music",0.495420
data/raw/fsd50k/FSD50K.dev_audio/233426.wav,train,"Water,Splash_and_splatter,Liquid",2.966372
data/raw/fsd50k/FSD50K.dev_audio/138710.wav,train,"Hi-hat,Cymbal,Percussion,Musical_instrument,Music",4.166667
data/raw/fsd50k/FSD50K.dev_audio/143483.wav,train,"Snare_drum,Drum,Percussion,Musical_instrument,Music",1.666667
data/raw/fsd50k/FSD50K.dev_audio/374882.wav,train,"Brass_instrument,Musical_instrument,Music",0.530612
data/raw/fsd50k/FSD50K.dev_audio/354935.wav,train,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",8.139773
data/raw/fsd50k/FSD50K.dev_audio/362487.wav,train,"Gunshot_and_gunfire,Explosion",0.946984
data/raw/fsd50k/FSD50K.dev_audio/263600.wav,train,"Waves_and_surf,Ocean,Water",2.865465
data/raw/fsd50k/FSD50K.dev_audio/84317.wav,train,"Bark,Dog,Domestic_animals_and_pets,Animal",2.500000
data/raw/fsd50k/FSD50K.dev_audio/175473.wav,train,"Female_singing,Singing,Human_voice",1.141474
data/raw/fsd50k/FSD50K.dev_audio/236523.wav,train,"Male_speech_and_man_speaking,Speech,Human_voice",1.190658
data/raw/fsd50k/FSD50K.dev_audio/93883.wav,train,"Male_speech_and_man_speaking,Speech,Human_voice",0.626939
data/raw/fsd50k/FSD50K.dev_audio/104932.wav,train,"Bird,Wild_animals,Animal",2.341973
data/raw/fsd50k/FSD50K.dev_audio/247119.wav,train,"Trumpet,Brass_instrument,Musical_instrument,Music",3.000000
data/raw/fsd50k/FSD50K.dev_audio/352574.wav,train,"Thunder,Rain,Water,Thunderstorm",11.767982
data/raw/fsd50k/FSD50K.dev_audio/218336.wav,train,"Drawer_open_or_close,Domestic_sounds_and_home_sounds",12.160000
data/raw/fsd50k/FSD50K.dev_audio/34699.wav,train,Animal,3.733333
data/raw/fsd50k/FSD50K.dev_audio/389495.wav,train,"Fowl,Livestock_and_farm_animals_and_working_animals,Animal",15.800000
data/raw/fsd50k/FSD50K.dev_audio/103598.wav,train,Walk_and_footsteps,6.760091
data/raw/fsd50k/FSD50K.dev_audio/320303.wav,train,"Waves_and_surf,Ocean,Water",21.311338
data/raw/fsd50k/FSD50K.dev_audio/414615.wav,train,"Rattle_(instrument),Percussion,Musical_instrument,Music",0.336213
data/raw/fsd50k/FSD50K.dev_audio/247259.wav,train,"Trumpet,Brass_instrument,Musical_instrument,Music",3.636576
data/raw/fsd50k/FSD50K.dev_audio/138341.wav,train,Run,2.836168
data/raw/fsd50k/FSD50K.dev_audio/47307.wav,train,"Drum_kit,Percussion,Musical_instrument,Music",1.666667
data/raw/fsd50k/FSD50K.dev_audio/268255.wav,train,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",5.333333
data/raw/fsd50k/FSD50K.dev_audio/358471.wav,train,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",5.500000
data/raw/fsd50k/FSD50K.dev_audio/76631.wav,train,"Male_singing,Singing,Human_voice",1.125034
data/raw/fsd50k/FSD50K.dev_audio/350053.wav,train,"Acoustic_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",8.040000
data/raw/fsd50k/FSD50K.dev_audio/102501.wav,train,"Drum_kit,Percussion,Musical_instrument,Music",3.692313
